tNotaCredito;tItem;tDocumento;tCodigoProducto;nPrecioNeto;nPrecioImpuesto1;nPrecioImpuesto2;nPrecioImpuesto3;nPrecioVenta;nPrecioOficial;nRecargo;nDescuento;nCantidad;nImpuesto1;nImpuesto2;nImpuesto3;nVenta;tGuia;nDescuentoNeto;nLey1;tAplicaExoneracion;tAplicaInafectacion;tDocumentoAnticipo
D00130000000448;4;B00130000027932;344;23,62204724;4,251968504;2,125984252;0;30;30;0;0;1;4,251968504;2,125984252;0;30;NULL;NULL;0;NULL;NULL;NULL
D00130000000448;3;B00130000027932;344;22,83464567;4,11023622;2,05511811;0;29;29;0;0;1;4,11023622;2,05511811;0;29;NULL;NULL;0;NULL;NULL;NULL
D00130000000448;2;B00130000027932;93;13,38582677;2,409448819;1,204724409;0;17;17;0;0;1;2,409448819;1,204724409;0;17;NULL;NULL;0;NULL;NULL;NULL
D00130000000448;1;B00130000027932;93;12,5984252;2,267716535;1,133858268;0;16;16;0;0;1;2,267716535;1,133858268;0;16;NULL;NULL;0;NULL;NULL;NULL
D00130000000447;3;B00130000027926;344;23,62204724;4,251968504;2,125984252;0;30;30;0;0;3;12,75590551;6,377952756;0;90;NULL;NULL;0;NULL;NULL;NULL
D00130000000447;2;B00130000027926;93;12,5984252;2,267716535;1,133858268;0;16;16;0;0;2;4,535433071;2,267716535;0;32;NULL;NULL;0;NULL;NULL;NULL
D00130000000447;1;B00130000027926;93;13,38582677;2,409448819;1,204724409;0;17;17;0;0;1;2,409448819;1,204724409;0;17;NULL;NULL;0;NULL;NULL;NULL
D00130000000446;4;B00130000027927;2321;27,48031496;4,946456693;2,473228346;0;34,9;34,9;0;0;3;14,83937008;7,419685039;0;104,7;NULL;NULL;0;NULL;NULL;NULL
D00130000000446;3;B00130000027927;2323;25,90551181;4,662992126;2,331496063;0;32,9;32,9;0;0;2;9,325984252;4,662992126;0;65,8;NULL;NULL;0;NULL;NULL;NULL
D00130000000446;2;B00130000027927;2322;27,48031496;4,946456693;2,473228346;0;34,9;34,9;0;0;5;24,73228346;12,36614173;0;174,5;NULL;NULL;0;NULL;NULL;NULL
D00130000000446;1;B00130000027927;2324;25,90551181;4,662992126;2,331496063;0;32,9;32,9;0;0;3;13,98897638;6,994488189;0;98,7;NULL;NULL;0;NULL;NULL;NULL
D00130000000445;2;B00130000027880;2323;25,90551181;4,662992126;2,331496063;0;32,9;32,9;0;0;1;4,662992126;2,331496063;0;32,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000445;1;B00130000027880;2322;27,48031496;4,946456693;2,473228346;0;34,9;34,9;0;0;2;9,892913386;4,946456693;0;69,8;NULL;NULL;0;NULL;NULL;NULL
D00130000000444;1;B00130000027856;1498;77,95275591;14,03149606;7,015748031;0;99;99;0;0;1;14,03149606;7,015748031;0;99;NULL;NULL;0;NULL;NULL;NULL
D00130000000443;1;B00130000027372;563;38,58267717;6,94488189;3,472440945;0;49;49;0;0;1;6,94488189;3,472440945;0;49;NULL;NULL;0;NULL;NULL;NULL
D00130000000442;2;B00130000027270;555;4,724409449;0,850393701;0,42519685;0;6;6;0;0;1;0,850393701;0,42519685;0;6;NULL;NULL;0;NULL;NULL;NULL
D00130000000442;1;B00130000027270;1787;77,95275591;14,03149606;7,015748031;0;99;99;0;0;1;14,03149606;7,015748031;0;99;NULL;NULL;0;NULL;NULL;NULL
D00130000000441;1;B00130000027344;248;11,81102362;2,125984252;1,062992126;0;15;15;0;0;1;2,125984252;1,062992126;0;15;NULL;NULL;0;NULL;NULL;NULL
D00130000000440;2;B00130000027158;232;12,5984252;2,267716535;1,133858268;0;16;16;0;0;1;2,267716535;1,133858268;0;16;NULL;NULL;0;NULL;NULL;NULL
D00130000000440;1;B00130000027158;370;12,5984252;2,267716535;1,133858268;0;16;16;0;0;1;2,267716535;1,133858268;0;16;NULL;NULL;0;NULL;NULL;NULL
D00130000000439;2;B00130000027136;2323;25,90551181;4,662992126;2,331496063;0;32,9;32,9;0;0;4;18,6519685;9,325984252;0;131,6;NULL;NULL;0;NULL;NULL;NULL
D00130000000439;1;B00130000027136;2322;27,48031496;4,946456693;2,473228346;0;34,9;34,9;0;0;3;14,83937008;7,419685039;0;104,7;NULL;NULL;0;NULL;NULL;NULL
D00130000000438;1;B00130000027066;2136;17,24409449;3,103937008;1,551968504;0;21,9;21,9;0;0;1;3,103937008;1,551968504;0;21,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000437;1;B00130000027153;461;7,086614173;1,275590551;0,637795276;0;9;9;0;0;4;5,102362205;2,551181102;0;36;NULL;NULL;0;NULL;NULL;NULL
D00130000000436;3;B00130000027086;2144;23,54330709;4,237795276;2,118897638;0;29,9;29,9;0;0;1;4,237795276;2,118897638;0;29,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000436;2;B00130000027086;2178;23,54330709;4,237795276;2,118897638;0;29,9;29,9;0;0;1;4,237795276;2,118897638;0;29,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000436;1;B00130000027086;2148;23,54330709;4,237795276;2,118897638;0;29,9;29,9;0;0;1;4,237795276;2,118897638;0;29,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000435;3;B00130000027133;2323;25,90551181;4,662992126;2,331496063;0;32,9;32,9;0;0;2;9,325984252;4,662992126;0;65,8;NULL;NULL;0;NULL;NULL;NULL
D00130000000435;2;B00130000027133;2323;25,90551181;4,662992126;2,331496063;0;32,9;32,9;0;0;3;13,98897638;6,994488189;0;98,7;NULL;NULL;0;NULL;NULL;NULL
D00130000000435;1;B00130000027133;2322;27,48031496;4,946456693;2,473228346;0;34,9;34,9;0;0;1;4,946456693;2,473228346;0;34,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000434;3;B00130000027132;2323;25,90551181;4,662992126;2,331496063;0;32,9;32,9;0;0;2;9,325984252;4,662992126;0;65,8;NULL;NULL;0;NULL;NULL;NULL
D00130000000434;2;B00130000027132;2323;25,90551181;4,662992126;2,331496063;0;32,9;32,9;0;0;3;13,98897638;6,994488189;0;98,7;NULL;NULL;0;NULL;NULL;NULL
D00130000000434;1;B00130000027132;2322;27,48031496;4,946456693;2,473228346;0;34,9;34,9;0;0;1;4,946456693;2,473228346;0;34,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000433;1;B00130000026879;1357;38,58267717;6,94488189;3,472440945;0;49;49;0;0;1;6,94488189;3,472440945;0;49;NULL;NULL;0;NULL;NULL;NULL
D00130000000432;1;B00130000027113;2322;27,48031496;4,946456693;2,473228346;0;34,9;34,9;0;0;1;4,946456693;2,473228346;0;34,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000431;2;B00130000027115;2323;25,90551181;4,662992126;2,331496063;0;32,9;32,9;0;0;1;4,662992126;2,331496063;0;32,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000431;1;B00130000027115;2322;27,48031496;4,946456693;2,473228346;0;34,9;34,9;0;0;2;9,892913386;4,946456693;0;69,8;NULL;NULL;0;NULL;NULL;NULL
D00130000000430;2;B00130000027117;2322;27,48031496;4,946456693;2,473228346;0;34,9;34,9;0;0;1;4,946456693;2,473228346;0;34,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000430;1;B00130000027117;2322;27,48031496;4,946456693;2,473228346;0;34,9;34,9;0;0;1;4,946456693;2,473228346;0;34,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000429;1;B00130000027064;1405;25,19685039;4,535433071;2,267716535;0;32;32;0;0;1;4,535433071;2,267716535;0;32;NULL;NULL;0;NULL;NULL;NULL
D00130000000428;1;B00130000027029;2145;24,33070866;4,379527559;2,18976378;0;30,9;30,9;0;0;2;8,759055118;4,379527559;0;61,8;NULL;NULL;0;NULL;NULL;NULL
D00130000000427;1;B00130000026966;2146;20,39370079;3,670866142;1,835433071;0;25,9;25,9;0;0;1;3,670866142;1,835433071;0;25,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000426;2;B00130000026900;2149;23,54330709;4,237795276;2,118897638;0;29,9;29,9;0;0;1;4,237795276;2,118897638;0;29,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000426;1;B00130000026900;2151;21,96850394;3,954330709;1,977165354;0;27,9;27,9;0;0;1;3,954330709;1,977165354;0;27,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000425;1;B00130000026860;3;77,95275591;14,03149606;7,015748031;0;99;99;0;0;1;14,03149606;7,015748031;0;99;NULL;NULL;0;NULL;NULL;NULL
D00130000000424;1;B00130000026869;2136;17,24409449;3,103937008;1,551968504;0;21,9;21,9;0;0;1;3,103937008;1,551968504;0;21,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000423;1;B00130000026687;6;70,86614173;12,75590551;6,377952756;0;90;90;0;0;1;12,75590551;6,377952756;0;90;NULL;NULL;0;NULL;NULL;NULL
D00130000000422;2;B00130000026497;1703;47,24409449;8,503937008;4,251968504;0;60;60;0;0;1;8,503937008;4,251968504;0;60;NULL;NULL;0;NULL;NULL;NULL
D00130000000422;1;B00130000026497;1702;47,24409449;8,503937008;4,251968504;0;60;60;0;0;1;8,503937008;4,251968504;0;60;NULL;NULL;0;NULL;NULL;NULL
D00130000000421;1;B00130000026477;86;77,95275591;14,03149606;7,015748031;0;99;99;0;0;1;14,03149606;7,015748031;0;99;NULL;NULL;0;NULL;NULL;NULL
D00130000000420;1;B00130000026428;1129;40,94488189;7,37007874;3,68503937;0;52;52;0;0;2;14,74015748;7,37007874;0;104;NULL;NULL;0;NULL;NULL;NULL
D00130000000419;1;B00130000026451;1978;22,83464567;4,11023622;2,05511811;0;29;29;0;0;1;4,11023622;2,05511811;0;29;NULL;NULL;0;NULL;NULL;NULL
D00130000000418;1;B00130000026322;1920;19,68503937;3,543307087;1,771653543;0;25;25;0;0;81;287,007874;143,503937;0;2025;NULL;NULL;0;NULL;NULL;NULL
D00130000000417;1;B00130000026243;2140;37,55905512;6,760629921;3,380314961;0;47,7;47,7;0;0;1;6,760629921;3,380314961;0;47,7;NULL;NULL;0;NULL;NULL;NULL
D00130000000416;1;B00130000026270;2141;27,48031496;4,946456693;2,473228346;0;34,9;34,9;0;0;1;4,946456693;2,473228346;0;34,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000415;2;B00130000026185;1946;19,60629921;3,529133858;1,764566929;0;24,9;24,9;0;0;1;3,529133858;1,764566929;0;24,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000415;1;B00130000026185;1949;19,60629921;3,529133858;1,764566929;0;24,9;24,9;0;0;1;3,529133858;1,764566929;0;24,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000414;2;B00130000026140;555;4,724409449;0,850393701;0,42519685;0;6;6;0;0;1;0,850393701;0,42519685;0;6;NULL;NULL;0;NULL;NULL;NULL
D00130000000414;1;B00130000026140;1498;77,95275591;14,03149606;7,015748031;0;99;99;0;0;1;14,03149606;7,015748031;0;99;NULL;NULL;0;NULL;NULL;NULL
D00130000000413;2;B00130000026050;86;77,95275591;14,03149606;7,015748031;0;99;99;0;0;1;14,03149606;7,015748031;0;99;NULL;NULL;0;NULL;NULL;NULL
D00130000000413;1;B00130000026050;1129;40,94488189;7,37007874;3,68503937;0;52;52;0;0;1;7,37007874;3,68503937;0;52;NULL;NULL;0;NULL;NULL;NULL
D00130000000412;1;B00130000025945;54;38,58267717;6,94488189;3,472440945;0;49;49;0;0;1;6,94488189;3,472440945;0;49;NULL;NULL;0;NULL;NULL;NULL
