tCodigoPedido;tItem;tTipoPedido;tCodigoProducto;tCodigoGrupo;tCodigoSubGrupo;tMoneda;nPrecioNeto;nPrecioImpuesto1;nPrecioImpuesto2;nPrecioImpuesto3;nPrecioVenta;nRecargo;nDescuento;nPrecioOficial;nCantidad;nImpuesto1;nImpuesto2;nImpuesto3;nVenta;tObservacion;tCortesia;lImprime;tEstadoItem;tArea;lCombinacion;nCombinacion;lImprimeArea;tFacturado;tDocumento;lTransferido;tComanda;fregistro;tmozod;tusuariod;nInsumo;nGasto;nManoObra;nOrden;lCorte;tPosicion;fEnvio;nEnvio;tUnidadNegocio;tOferta;tAutorizaOferta;tSubalmacen;lRegistroVenta;fDiaContable;lAtendidoC;fAtendidoC;tUsuarioAtendio;lCantadoC;fCantadoC;lTipoEnvio;tGuiaTransporte;tCodigoEtiqueta;tCajaD;lNoCantado;tUsuarioAutorizaEnvio;tPerfilUsuarioAutoriza;tAplicaExoneracion;tAplicaInafectacion;tDocumentoAnticipo
2500055205;4;1;1810;17;1702;NULL;13,10077519;2,358139535;1,441085271;0;16,9;0;0;16,9;1;2,358139535;1,441085271;0;16,9;NULL;NULL;1;N;2;0;0;1;NULL;NULL;NULL;;14/07/2025 21:29;91;CAJA;0;0;0;1;NULL;NULL;2025-07-14 21:29:06.110;1;1;;NULL;;NULL;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 21:29:06.103;0;NULL;NULL;15;0;;;0;0;NULL
2500055205;3;1;208;6;610;NULL;7,751937984;1,395348837;0,852713178;0;10;0;0;10;1;1,395348837;0,852713178;0;10;NULL;NULL;1;N;3;0;0;1;NULL;NULL;NULL;;14/07/2025 21:29;91;CAJA;0;0;0;1;NULL;NULL;2025-07-14 21:29:06.110;1;1;;NULL;;NULL;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 21:29:06.103;0;NULL;NULL;15;0;;;0;0;NULL
2500055205;2;1;209;6;610;NULL;6,976744186;1,255813953;0,76744186;0;9;0;0;9;1;1,255813953;0,76744186;0;9;NULL;NULL;1;N;3;0;0;1;NULL;NULL;NULL;;14/07/2025 21:29;91;CAJA;0;0;0;1;NULL;NULL;2025-07-14 21:29:06.110;1;1;;NULL;;NULL;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 21:29:06.103;0;NULL;NULL;15;0;;;0;0;NULL
2500055205;1;1;223;6;610;NULL;9,302325581;1,674418605;1,023255814;0;12;0;0;12;1;1,674418605;1,023255814;0;12;CARGADO MENOS LECHE;NULL;1;N;3;0;0;1;NULL;NULL;NULL;;14/07/2025 21:28;91;CAJA;0;0;0;1;NULL;NULL;2025-07-14 21:29:06.110;1;1;;NULL;;NULL;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 21:29:06.103;0;NULL;NULL;15;0;;;0;0;NULL
2500055204;1;4;2151;14;1407;;23,17829457;4,172093023;2,549612403;0;29,9;0;0;29,9;1;4,172093023;2,549612403;0;29,9;;;1;N;6;0;0;1;P;B00130000059581;0;;14/07/2025 21:26;;WSInforest;0;0;0;0;0;;2025-07-14 21:26:21.433;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
2500055203;2;4;2386;17;1702;;13,10077519;2,358139535;1,441085271;0;16,9;0;0;16,9;1;2,358139535;1,441085271;0;16,9;;;1;N;2;0;0;1;P;B00130000059580;0;;14/07/2025 21:24;;WSInforest;0;0;0;0;0;;2025-07-14 21:23:56.737;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
2500055203;1;4;1272;11;1105;;22,40310078;4,03255814;2,464341085;0;28,9;0;0;28,9;1;4,03255814;2,464341085;0;28,9;;;1;N;2;0;0;1;P;B00130000059580;0;;14/07/2025 21:24;;WSInforest;0;0;0;0;0;;2025-07-14 21:23:56.737;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
2500055202;1;3;2418;17;1702;NULL;13,10077519;2,358139535;1,441085271;0;16,9;0;0;16,9;1;2,358139535;1,441085271;0;16,9;NULL;NULL;1;N;2;0;0;1;P;B00101000152011;NULL;;14/07/2025 21:22;0;MSOSA;0;0;0;1;NULL;NULL;2025-07-14 21:21:44.313;1;1;;NULL;;1;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 21:21:44.303;0;NULL;NULL;11;0;;;0;0;NULL
2500055201;1;4;2379;17;1702;;7,751937984;1,395348837;0,852713178;0;10;0;0;10;2;2,790697674;1,705426357;0;20;;;1;N;2;0;0;1;P;B00130000059579;0;;14/07/2025 21:04;;WSInforest;0;0;0;0;0;;2025-07-14 21:04:15.510;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
2500055200;5;1;494;14;1410;NULL;16,97674419;3,055813953;1,86744186;0;21,9;0;0;21,9;1;3,055813953;1,86744186;0;21,9;NULL;NULL;1;N;1;0;0;1;P;B00A12000004037;NULL;;14/07/2025 20:27;86;CAJA;6,29E-17;0;0;0;NULL;NULL;2025-07-14 20:27:00.000;1;1;;NULL;;1;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 20:27:05.780;0;NULL;NULL;15;NULL;;;0;0;NULL
2500055200;4;1;1332;6;609;NULL;12,40310078;2,23255814;1,364341085;0;16;0;0;16;1;2,23255814;1,364341085;0;16;NULL;NULL;1;N;3;0;0;1;P;B00A12000004037;NULL;;14/07/2025 20:18;86;CAJA;0;0;0;1;NULL;NULL;2025-07-14 20:19:00.000;1;1;;NULL;;1;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 20:18:31.567;0;NULL;NULL;15;NULL;;;0;0;NULL
2500055200;3;1;213;6;610;NULL;6,976744186;1,255813953;0,76744186;0;9;0;0;9;1;1,255813953;0,76744186;0;9;NULL;NULL;1;N;3;0;0;1;P;B00A12000004037;NULL;;14/07/2025 20:18;86;CAJA;0;0;0;1;NULL;NULL;2025-07-14 20:19:00.000;1;1;;NULL;;1;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 20:18:31.567;0;NULL;NULL;15;NULL;;;0;0;NULL
2500055200;2;1;180;14;1412;NULL;19,30232558;3,474418605;2,123255814;0;24,9;0;0;24,9;1;3,474418605;2,123255814;0;24,9;NULL;NULL;1;N;1;0;0;1;P;B00A12000004037;NULL;;14/07/2025 20:18;86;CAJA;0;0;0;1;NULL;NULL;2025-07-14 20:19:00.000;1;1;;NULL;;1;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 20:18:31.567;0;NULL;NULL;15;NULL;;;0;0;NULL
2500055199;1;3;1522;17;1706;NULL;41,00775194;7,381395349;4,510852713;0;52,9;0;0;52,9;1;7,381395349;4,510852713;0;52,9;NULL;NULL;1;N;2;0;0;1;P;B00101000152010;NULL;;14/07/2025 21:00;0;MSOSA;0;0;0;1;NULL;NULL;2025-07-14 21:00:27.797;1;1;;NULL;;1;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 21:00:27.787;0;NULL;NULL;11;0;;;0;0;NULL
2500055198;1;4;2387;17;1702;;13,10077519;2,358139535;1,441085271;0;16,9;0;0;16,9;1;2,358139535;1,441085271;0;16,9;;;1;N;2;0;0;1;P;B00130000059578;0;;14/07/2025 20:58;;WSInforest;0;0;0;0;0;;2025-07-14 20:57:41.670;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
2500055197;1;4;2716;14;1412;;16,97674419;3,055813953;1,86744186;0;21,9;0;0;21,9;2;6,111627907;3,734883721;0;43,8;;;1;N;6;0;0;1;P;B00130000059577;0;;14/07/2025 20:55;;WSInforest;0;0;0;0;0;;2025-07-14 20:55:21.490;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
2500055196;2;3;2716;14;1412;NULL;16,97674419;3,055813953;1,86744186;0;21,9;0;0;21,9;1;3,055813953;1,86744186;0;21,9;NULL;NULL;1;N;6;0;0;1;P;B00101000152009;NULL;;14/07/2025 20:49;0;MSOSA;0;0;0;1;NULL;NULL;2025-07-14 20:49:27.470;1;1;;NULL;;1;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 20:49:27.460;0;NULL;NULL;11;0;;;0;0;NULL
2500055196;1;3;2574;6;609;NULL;11,62790698;2,093023256;1,279069767;0;15;0;0;15;1;2,093023256;1,279069767;0;15;NULL;NULL;1;N;3;0;0;1;P;B00101000152009;NULL;;14/07/2025 20:49;0;MSOSA;0;0;0;1;NULL;NULL;2025-07-14 20:49:27.470;1;1;;NULL;;1;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 20:49:27.460;0;NULL;NULL;11;0;;;0;0;NULL
