tDocumento;tItem;tCodigoPedido;tCodigoProducto;nPrecioNeto;nPrecioImpuesto1;nPrecioImpuesto2;nPrecioImpuesto3;nPrecioVenta;nPrecioOficial;nRecargo;nDescuento;nCantidad;nImpuesto1;nImpuesto2;nImpuesto3;nVenta;tGuia;nDescuentoNeto;nLey1;tAplicaExoneracion;tAplicaInafectacion;tDocumentoAnticipo
T00014000000124;1;1700008750;199;7,627118644;1,372881356;0;0;9;9;0;0;1;1,372881356;0;0;9;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000123;3;1700008737;199;7,627118644;1,372881356;0;0;9;9;0;0;1;1,372881356;0;0;9;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000123;2;1700008737;97;10,16949153;1,830508475;0;0;12;12;0;0;1;1,830508475;0;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000123;1;1700008737;95;10,16949153;1,830508475;0;0;12;12;0;0;1;1,830508475;0;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000122;2;1700008739;233;10,16949153;1,830508475;0;0;12;12;0;0;1;1,830508475;0;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000122;1;1700008739;93;10,16949153;1,830508475;0;0;12;12;0;0;1;1,830508475;0;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000121;2;1700008732;96;10,16949153;1,830508475;0;0;12;12;0;0;1;1,830508475;0;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000121;1;1700008732;233;10,16949153;1,830508475;0;0;12;12;0;0;1;1,830508475;0;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000120;3;1700008723;281;4,237288136;0,762711864;0;0;5;5;0;0;1;0,762711864;0;0;5;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000120;2;1700008723;148;4,237288136;0,762711864;0;0;5;5;0;0;1;0,762711864;0;0;5;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000120;1;1700008723;93;10,16949153;1,830508475;0;0;12;12;0;0;1;1,830508475;0;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000119;3;1700008718;199;7,627118644;1,372881356;0;0;9;9;0;0;1;1,372881356;0;0;9;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000119;2;1700008718;103;5,93220339;1,06779661;0;0;7;7;0;0;1;1,06779661;0;0;7;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000119;1;1700008718;97;10,16949153;1,830508475;0;0;12;12;0;0;1;1,830508475;0;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000118;3;1700008714;221;12,71186441;2,288135593;0;0;15;15;0;0;1;2,288135593;0;0;15;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000118;2;1700008714;206;5,93220339;1,06779661;0;0;7;7;0;0;1;1,06779661;0;0;7;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000118;1;1700008714;148;4,237288136;0,762711864;0;0;5;5;0;0;2;1,525423729;0;0;10;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000117;2;1700008706;233;10,16949153;1,830508475;0;0;12;12;0;0;1;1,830508475;0;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000117;1;1700008706;94;10,16949153;1,830508475;0;0;12;12;0;0;1;1,830508475;0;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000116;1;1700008605;260;7,627118644;1,372881356;0;0;9;12;0;3;1;1,372881356;0;0;9;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000115;4;1700008592;246;11,86440678;2,13559322;0;0;14;14;0;0;1;2,13559322;0;0;14;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000115;3;1700008592;213;6,779661017;1,220338983;0;0;8;8;0;0;1;1,220338983;0;0;8;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000115;2;1700008592;94;10,16949153;1,830508475;0;0;12;12;0;0;1;1,830508475;0;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000115;1;1700008592;214;6,779661017;1,220338983;0;0;8;8;0;0;1;1,220338983;0;0;8;NULL;NULL;NULL;NULL;NULL;NULL
