tDocumento;tCorrelativo;tTurno;tTipoPago;tOtroTipoPago;tMoneda;nTipoCambio;nMonto;nPropina;tTarjeta;tReferencia;tBanco;tNumero;tFechaVencimiento;tUsuario;fRegistro;nDolar;lReplica;fDiaContable;tNumeroATarjeta;tForma;tCodigoIntegracion
T00013000085588;1;1800000376;1;NULL;1;3,1;24;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:56;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085587;1;1800000376;1;NULL;1;3,1;62;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:54;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085586;1;1800000376;2;NULL;1;3,1;30;0;5;;NULL;1150;;MRAMIREZ;29/07/2018 16:53;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085585;1;1800000376;2;NULL;1;3,1;38;0;5;;NULL;9181;;MRAMIREZ;29/07/2018 16:52;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085584;1;1800000376;2;NULL;1;3,1;30;0;5;;NULL;4088;;MRAMIREZ;29/07/2018 16:50;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085583;1;1800000376;1;NULL;1;3,1;20;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:48;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085582;1;1800000376;2;NULL;1;3,1;99;0;1;;NULL;1958;;MRAMIREZ;29/07/2018 16:46;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085581;3;1800000376;2;NULL;1;3,1;22;0;5;;NULL;3221;;MRAMIREZ;29/07/2018 16:43;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085581;2;1800000376;2;NULL;1;3,1;12;2;1;;NULL;4011;;MRAMIREZ;29/07/2018 16:43;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085581;1;1800000376;1;NULL;1;3,1;20;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:43;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085580;1;1800000376;1;NULL;1;3,1;33;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:42;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085579;2;1800000376;2;NULL;1;3,1;4;0;5;;NULL;695.;;MRAMIREZ;29/07/2018 16:41;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085579;1;1800000376;1;NULL;1;3,1;10;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:41;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085578;1;1800000376;1;NULL;1;3,1;6;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:40;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085577;1;1800000376;2;NULL;1;3,1;57;0;1;;NULL;2013;;MRAMIREZ;29/07/2018 16:40;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085576;1;1800000376;1;NULL;1;3,1;68;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:39;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085575;1;1800000376;1;NULL;1;3,1;34;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:38;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085574;1;1800000376;1;NULL;1;3,1;65;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:37;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085573;1;1800000376;2;NULL;1;3,1;70;0;1;;NULL;5206;;MRAMIREZ;29/07/2018 16:37;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085572;1;1800000376;1;NULL;1;3,1;58;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:35;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085571;1;1800000376;2;NULL;1;3,1;42;0;1;;NULL;8013;;MRAMIREZ;29/07/2018 16:34;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085570;1;1800000376;1;NULL;1;3,1;14;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:32;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085569;1;1800000376;1;NULL;1;3,1;65;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:31;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085568;1;1800000376;1;NULL;1;3,1;56;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:31;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085567;1;1800000376;1;NULL;1;3,1;24;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:29;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085566;1;1800000376;2;NULL;1;3,1;73;0;2;;NULL;8336;;MRAMIREZ;29/07/2018 16:29;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085565;1;1800000376;2;NULL;1;3,1;86;0;1;;NULL;8990;;MRAMIREZ;29/07/2018 16:28;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085564;1;1800000376;2;NULL;1;3,1;50;0;5;;NULL;3937;;MRAMIREZ;29/07/2018 16:26;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085563;1;1800000376;1;NULL;1;3,1;41;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:26;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085562;1;1800000376;2;NULL;1;3,1;42;0;1;;NULL;5221;;MRAMIREZ;29/07/2018 16:26;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085561;1;1800000376;2;NULL;1;3,1;32;0;5;;NULL;4721;;MRAMIREZ;29/07/2018 16:24;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085560;6;1800000376;2;NULL;1;3,1;10;0;5;;NULL;9238;;MRAMIREZ;29/07/2018 16:23;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085560;5;1800000376;2;NULL;1;3,1;20;0;5;;NULL;3503;;MRAMIREZ;29/07/2018 16:23;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085560;4;1800000376;2;NULL;1;3,1;17;0;2;;NULL;4607;;MRAMIREZ;29/07/2018 16:23;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085560;3;1800000376;2;NULL;1;3,1;18;0;5;;NULL;4328;;MRAMIREZ;29/07/2018 16:23;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085560;2;1800000376;2;NULL;1;3,1;8;0;5;;NULL;8651;;MRAMIREZ;29/07/2018 16:23;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085560;1;1800000376;2;NULL;1;3,1;15;0;5;;NULL;2609;;MRAMIREZ;29/07/2018 16:23;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085559;1;1800000376;1;NULL;1;3,1;38;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:23;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085558;1;1800000376;1;NULL;1;3,1;40;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:23;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085557;1;1800000376;2;NULL;1;3,1;32;0;5;;NULL;1464;;MRAMIREZ;29/07/2018 16:22;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085556;1;1800000376;2;NULL;1;3,1;60;0;2;;NULL;7965;;MRAMIREZ;29/07/2018 16:20;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085555;1;1800000376;1;NULL;1;3,1;16;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:19;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085554;1;1800000376;1;NULL;1;3,1;10;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:15;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085553;1;1800000376;2;NULL;1;3,1;36;0;5;;NULL;4824;;MRAMIREZ;29/07/2018 16:14;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085552;1;1800000376;2;NULL;1;3,1;79;0;2;;NULL;424;;MRAMIREZ;29/07/2018 16:13;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085551;2;1800000376;2;NULL;1;3,1;19;1;1;;NULL;8015;;MRAMIREZ;29/07/2018 16:11;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085551;1;1800000376;2;NULL;1;3,1;46;3;5;;NULL;471;;MRAMIREZ;29/07/2018 16:11;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085550;1;1800000376;2;NULL;1;3,1;12;0;5;;NULL;2108;;MRAMIREZ;29/07/2018 16:09;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085549;1;1800000376;1;NULL;1;3,1;12;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:08;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085548;1;1800000376;2;NULL;1;3,1;81;0;5;;NULL;8180;;MRAMIREZ;29/07/2018 16:07;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085547;1;1800000376;2;NULL;1;3,1;30;0;3;;NULL;3292;;MRAMIREZ;29/07/2018 16:07;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085546;1;1800000376;2;NULL;1;3,1;44;0;5;;NULL;2108;;MRAMIREZ;29/07/2018 16:05;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085545;1;1800000376;2;NULL;1;3,1;29;0;1;;NULL;2019;;MRAMIREZ;29/07/2018 16:03;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085544;1;1800000376;2;NULL;1;3,1;60;0;5;;NULL;1539;;MRAMIREZ;29/07/2018 16:02;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085543;1;1800000376;2;NULL;1;3,1;26;0;5;;NULL;4823;;MRAMIREZ;29/07/2018 16:02;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085542;1;1800000376;1;NULL;1;3,1;25;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 16:01;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085541;1;1800000376;2;NULL;1;3,1;29;4;1;;NULL;8013;;MRAMIREZ;29/07/2018 16:00;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085540;1;1800000376;2;NULL;1;3,1;27;0;5;;NULL;6434;;MRAMIREZ;29/07/2018 16:00;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085539;2;1800000376;2;NULL;1;3,1;57;0;5;;NULL;5092;;MRAMIREZ;29/07/2018 15:59;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085539;1;1800000376;1;NULL;1;3,1;142;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 15:59;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085538;1;1800000376;2;NULL;1;3,1;41;0;5;;NULL;7641;;MRAMIREZ;29/07/2018 15:56;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085537;1;1800000376;2;NULL;1;3,1;27;0;5;;NULL;5320;;MRAMIREZ;29/07/2018 15:56;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085536;1;1800000376;1;NULL;1;3,1;4;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 15:55;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085535;1;1800000376;2;NULL;1;3,1;52;0;5;;NULL;8415;;MRAMIREZ;29/07/2018 15:54;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085534;1;1800000376;1;NULL;1;3,1;40;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 15:53;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085533;1;1800000376;2;NULL;1;3,1;85;0;5;;NULL;4859;;MRAMIREZ;29/07/2018 15:52;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085532;1;1800000376;2;NULL;1;3,1;18;0;5;;NULL;1133;;MRAMIREZ;29/07/2018 15:50;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085531;1;1800000376;1;NULL;1;3,1;50;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 15:48;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085530;1;1800000376;2;NULL;1;3,1;19;0;5;;NULL;7594;;MRAMIREZ;29/07/2018 15:48;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085529;1;1800000376;2;NULL;1;3,1;41;0;5;;NULL;2161;;MRAMIREZ;29/07/2018 15:46;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085528;1;1800000376;1;NULL;1;3,1;70;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 15:45;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085526;1;1800000376;2;NULL;1;3,1;34;0;5;;NULL;5943;;MRAMIREZ;29/07/2018 15:42;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085525;1;1800000376;2;NULL;1;3,1;63;6;1;;NULL;8012;;MRAMIREZ;29/07/2018 15:41;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085524;1;1800000376;1;NULL;1;3,1;70;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 15:41;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085523;1;1800000376;2;NULL;1;3,1;12;0;5;;NULL;5809;;MRAMIREZ;29/07/2018 15:39;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085522;1;1800000376;2;NULL;1;3,1;48;0;5;;NULL;8486;;MRAMIREZ;29/07/2018 15:38;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085521;1;1800000376;1;NULL;1;3,1;12;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 15:38;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085520;1;1800000376;1;NULL;1;3,1;57;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 15:38;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085519;1;1800000376;1;NULL;1;3,1;70;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 15:37;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085518;1;1800000376;2;NULL;1;3,1;66;0;5;;NULL;5784;;MRAMIREZ;29/07/2018 15:36;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085517;1;1800000376;1;NULL;1;3,1;33;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 15:35;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085516;1;1800000376;2;NULL;1;3,1;90;0;1;;NULL;3222;;MRAMIREZ;29/07/2018 15:35;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085515;1;1800000376;1;NULL;1;3,1;35;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 15:32;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085514;1;1800000376;1;NULL;1;3,1;50;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 15:31;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085513;1;1800000376;2;NULL;1;3,1;34;0;1;;NULL;9343;;MRAMIREZ;29/07/2018 15:30;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085512;1;1800000376;2;NULL;1;3,1;10,5;0;5;;NULL;7274;;MRAMIREZ;29/07/2018 15:28;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085511;1;1800000376;1;NULL;1;3,1;39;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 15:28;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085510;1;1800000376;2;NULL;1;3,1;38;0;5;;NULL;7211;;MRAMIREZ;29/07/2018 15:27;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085509;1;1800000376;2;NULL;1;3,1;25;0;5;;NULL;5239;;MRAMIREZ;29/07/2018 15:25;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085508;1;1800000376;1;NULL;1;3,1;60;NULL;NULL;NULL;NULL;NULL;NULL;MRAMIREZ;29/07/2018 15:24;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085507;1;1800000376;2;NULL;1;3,1;30;0;5;;NULL;366;;MRAMIREZ;29/07/2018 15:24;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085506;1;1800000376;2;NULL;1;3,1;14;0;5;;NULL;835;;MRAMIREZ;29/07/2018 15:23;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085505;1;1800000375;1;NULL;1;3,1;36;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 15:21;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085504;1;1800000375;1;NULL;1;3,1;80;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 15:21;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085503;1;1800000375;1;NULL;1;3,1;20;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 15:20;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085502;1;1800000375;1;NULL;1;3,1;21;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 15:20;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085501;1;1800000375;2;NULL;1;3,1;87;0;5;;NULL;8547;;EACHA;29/07/2018 15:17;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085500;1;1800000375;1;NULL;1;3,1;22;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 15:15;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085499;1;1800000375;2;NULL;1;3,1;41;0;5;;NULL;835;;EACHA;29/07/2018 15:14;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085498;1;1800000375;1;NULL;1;3,1;70;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 15:13;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085497;1;1800000375;1;NULL;1;3,1;75;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 15:13;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085496;1;1800000375;2;NULL;1;3,1;80;0;5;;NULL;5489;;EACHA;29/07/2018 15:12;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085495;1;1800000375;1;NULL;1;3,1;70;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 15:11;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085494;1;1800000375;2;NULL;1;3,1;12;0;5;;NULL;9256;;EACHA;29/07/2018 15:10;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085493;1;1800000375;1;NULL;1;3,1;12;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 15:10;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085492;1;1800000375;2;NULL;1;3,1;38;0;5;;NULL;7813;;EACHA;29/07/2018 15:08;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085491;1;1800000375;1;NULL;1;3,1;24;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 15:04;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085490;1;1800000375;2;NULL;1;3,1;34;0;5;;NULL;820;;EACHA;29/07/2018 15:02;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085489;1;1800000375;2;NULL;1;3,1;33;0;1;;NULL;6222;;EACHA;29/07/2018 15:02;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085488;1;1800000375;2;NULL;1;3,1;116;5;5;;NULL;4769;;EACHA;29/07/2018 15:00;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085487;1;1800000375;2;NULL;1;3,1;28;0;1;;NULL;10;;EACHA;29/07/2018 14:59;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085486;1;1800000375;2;NULL;1;3,1;25;0;1;;NULL;5306;;EACHA;29/07/2018 14:57;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085485;1;1800000375;1;NULL;1;3,1;8;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 14:56;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085484;1;1800000375;1;NULL;1;3,1;4,5;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 14:52;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085483;1;1800000375;1;NULL;1;3,1;0,52;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 14:52;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085482;1;1800000375;1;NULL;1;3,1;63;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 14:50;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085481;1;1800000375;1;NULL;1;3,1;30;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 14:49;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085480;1;1800000375;1;NULL;1;3,1;30;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 14:48;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085479;1;1800000375;1;NULL;1;3,1;31;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 14:45;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085478;1;1800000375;1;NULL;1;3,1;70;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 14:43;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085477;1;1800000375;2;NULL;1;3,1;30;0;5;;NULL;2176;;EACHA;29/07/2018 14:42;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085476;1;1800000375;1;NULL;1;3,1;48;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 14:38;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085475;1;1800000375;2;NULL;1;3,1;42;0;1;;NULL;4628;;EACHA;29/07/2018 14:37;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085474;1;1800000375;2;NULL;1;3,1;36;0;1;;NULL;2015;;EACHA;29/07/2018 14:36;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085473;1;1800000375;2;NULL;1;3,1;54;0;1;;NULL;8150;;EACHA;29/07/2018 14:35;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085472;1;1800000375;2;NULL;1;3,1;10;0;5;;NULL;773;;EACHA;29/07/2018 14:26;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085471;1;1800000375;1;NULL;1;3,1;70;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 14:23;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085470;1;1800000375;1;NULL;1;3,1;51;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 14:22;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085469;1;1800000375;2;NULL;1;3,1;70;0;1;;NULL;8532;;EACHA;29/07/2018 14:22;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085468;1;1800000375;1;NULL;1;3,1;28;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 14:21;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085467;1;1800000375;2;NULL;1;3,1;30;0;1;;NULL;3226;;EACHA;29/07/2018 14:19;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085466;1;1800000375;1;NULL;1;3,1;36;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 14:18;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085465;1;1800000375;2;NULL;1;3,1;32;0;5;;NULL;7634;;EACHA;29/07/2018 14:17;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085464;1;1800000375;2;NULL;1;3,1;80;0;1;;NULL;12;;EACHA;29/07/2018 14:15;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085463;2;1800000375;2;NULL;1;3,1;14;0;5;;NULL;9586;;EACHA;29/07/2018 14:12;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085463;1;1800000375;2;NULL;1;3,1;14;0;2;;NULL;4212;;EACHA;29/07/2018 14:12;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085462;1;1800000375;1;NULL;1;3,1;42;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 14:10;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085461;3;1800000375;2;NULL;1;3,1;14;0;5;;NULL;1788;;EACHA;29/07/2018 14:08;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085461;2;1800000375;2;NULL;1;3,1;14;0;2;;NULL;8074;;EACHA;29/07/2018 14:08;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085461;1;1800000375;1;NULL;1;3,1;32;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 14:08;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085460;1;1800000375;1;NULL;1;3,1;31;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 14:07;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085459;1;1800000375;2;NULL;1;3,1;25;0;1;;NULL;2111;;EACHA;29/07/2018 14:00;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085458;1;1800000375;2;NULL;1;3,1;60;5;5;;NULL;1430;;EACHA;29/07/2018 13:59;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085457;1;1800000375;2;NULL;1;3,1;70;0;1;;NULL;535;;EACHA;29/07/2018 13:58;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085456;1;1800000375;1;NULL;1;3,1;40;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 13:52;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085455;1;1800000375;2;NULL;1;3,1;95;0;2;;NULL;8579;;EACHA;29/07/2018 13:50;NULL;NULL;29/07/2018 0:00;;NULL;NULL
T00013000085454;1;1800000375;1;NULL;1;3,1;14;NULL;NULL;NULL;NULL;NULL;NULL;EACHA;29/07/2018 13:42;NULL;NULL;29/07/2018 0:00;NULL;NULL;NULL
T00013000085453;1;1800000375;2;NULL;1;3,1;30;0;1;;NULL;5015;;EACHA;29/07/2018 13:42;NULL;NULL;29/07/2018 0:00;;NULL;NULL
