tCodigoProducto;tGrupo;tSubGrupo;tTipoProducto;tDetallado;tResumido;tMoneda;lImpuesto1;lImpuesto2;lImpuesto3;lImpuesto4;lImpuesto5;lImpuesto6;lImpuesto7;lImpuesto8;lImpuesto9;lImpuesto10;lImpuesto11;lImpuesto12;lImpuesto13;lImpuesto14;lImpuesto15;tDescargo;nPrecioVenta;nPrecioDelivery;nPrecioLlevar;nPrecioCanal4;nPrecioCanal5;tCortesia;lModificable;tArea;lImprimeArea;lEspecial;lFijo;lActivo;lCombinacion;nCombinacion;nBoton;tIcono;oFoto;tUsuario;fRegistro;tEnlace;tCajaRapida;nBotonRapido;nInsumo;nInsumo2;nInsumo3;nInsumo4;nInsumo5;nGasto;nGasto2;nGasto3;nGasto4;nGasto5;nManoObra;nManoObra2;nManoObra3;nManoObra4;nManoObra5;tBarra;lPropiedad;tInfhotel;lDescuento;lLocal;lDelivery;lLlevar;lCanal4;lCanal5;tBotonPalm;tUnidadNegocio;lReplica;lMultiArea;tAlternativa;lControlInsumoCritico;tCodigoInsumo;nTiempo;lBalanza;lSolicitaAutorizacionEnvio;lDefineAreaProduccion;tCodigoProductoSunat;nPrecioVentaRefer;nCombinacionMinima;lNuevoModificado;tCodigoSKU;lLey1;lActivaHomologacionExterno;SURLIMAGE;lActivaPatioComida;tDescripcionPatio;tStockPlatoCritico;tAplicaExoneracion;tAplicaInafectacion;tNombrePatio;lComboVisible;IntegracionWebApi
444;11;1101;1;HELADO 1LT;HELADO 1LT;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;35;35;35;35;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;10/02/2022 12:15;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;D2020291;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;0;0;HELADO 1LT;NULL;0
445;4;416;1;mini conito x und;mini conito x und;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;R;1,6;1,6;1,6;1,6;1,6;NULL;0;2;1;NULL;NULL;1;0;0;8;NULL;NULL;ADMIN;22/04/2025 12:41; ;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;V1000098;0;;1;1;1;1;1;1;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;0;0;Mini Conito 25 unidades;0;0
446;17;1701;1;Delicia de Vainilla con Chirimoya 24 P;Delicia de Vainilla con ;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;R;140;140;0;0;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;02/09/2021 8:33;107;NULL;NULL;6,29E-15;6,29E-15;6,29E-15;6,29E-15;6,29E-15;0;0;0;0;0;0;0;0;0;0;C3011048;0;;1;1;1;0;0;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;NULL;NULL;NULL;NULL;0
447;17;1701;1;TORTA DE VAINILLA - FRESCO - (50P) - AGENDA;TORTA DE VAINILLA - FRES;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;R;210;210;210;210;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;02/09/2021 8:33;139;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;V2010148;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;NULL;NULL;NULL;NULL;0
448;1;109;1;Valentine Cake Mini;Valentine Cake Mini;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;35;35;35;35;0;NULL;0;2;1;NULL;NULL;0;0;0;3;NULL;NULL;ADMIN;02/09/2021 8:33;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C3011103;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;NULL;NULL;NULL;NULL;0
449;1;109;1;Valentine Cake 12P;Valentine Cake 12P;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;80;80;80;80;0;NULL;0;2;1;NULL;NULL;0;0;0;5;NULL;NULL;ADMIN;02/09/2021 8:34;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C3011091;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;NULL;NULL;NULL;NULL;0
450;17;1702;1;Swetie Alfajor;Swetie Alfajor;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;10;10;10;10;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;14/02/2020 13:46;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C3008120;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;NULL;;0;NULL;NULL;NULL;NULL;NULL;NULL;0
451;17;1702;1;Brownie Love;Brownie Love;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;8;10;8;8;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;10/02/2022 12:16;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;V1000100;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;0;0;Brownie Love;NULL;0
452;17;1704;1;cranberrie cookie;cranberrie cookie;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;R;9;9;9;9;0;NULL;0;2;1;NULL;NULL;1;0;0;10;NULL;NULL;ADMIN;03/07/2025 23:36; ;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;V1000074;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;0;0;CRANBERRIE COOKIE;0;0
453;17;1705;1;cupcake red velvet;cupcake red velvet;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;R;12;12;12;12;0;NULL;0;2;1;NULL;NULL;0;0;0;11;NULL;NULL;ADMIN;06/01/2022 12:55;58;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C3008086;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;NULL;NULL;NULL;NULL;0
454;17;1701;1;Merengado Corazon 12P;Merengado Corazon 12P;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;R;90;90;90;90;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;02/09/2021 8:34;115;NULL;NULL;3,14E-15;3,14E-15;3,14E-15;3,14E-15;3,14E-15;0;0;0;0;0;0;0;0;0;0;V2010128;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;NULL;NULL;NULL;NULL;0
