tCodigoPedido;tItem;tItemCombo;tProducto;tProductoCombo;nCantidad;tCodigoGrupo;tCodigoSubGrupo;nPrecioNeto;nImpuesto1;nImpuesto2;nImpuesto3;nVenta;nInsumo;nGasto;nManoObra;lImprimeArea;lImprime;nOrden;tObservacion;lCorte;lAtendidoC;fAtendidoC;tUsuarioAtendio
2500054760;2;5;1898;215;1;6;601;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054760;2;4;1898;215;1;6;601;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054760;2;3;1898;1915;1;14;1412;19,30232558;3,474418605;2,123255814;0;24,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054760;2;2;1898;1917;1;14;1412;19,30232558;3,474418605;2,123255814;0;24,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054760;2;1;1898;376;1;14;1410;20,15503876;3,627906977;2,217054264;0;26;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054720;7;2;1898;215;1;6;601;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NO SACAR;NULL;NULL;NULL;NULL
2500054720;7;1;1898;1917;1;14;1412;19,30232558;3,474418605;2,123255814;0;24,9;0;0;0;1;1;1;NO SACAR;NULL;NULL;NULL;NULL
2500054720;1;3;1898;344;1;14;1412;23,95348837;4,311627907;2,634883721;0;30,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054720;1;2;1898;1920;1;14;1412;19,30232558;3,474418605;2,123255814;0;24,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054720;1;1;1898;1969;2;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;2;AL T;NULL;NULL;NULL;NULL
2500054699;1;2;1897;208;1;6;610;7,751937984;1,395348837;0,852713178;0;10;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054699;1;1;1897;262;1;14;1410;20,15503876;3,627906977;2,217054264;0;26;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054695;1;2;1973;1272;1;11;1105;22,40310078;4,03255814;2,464341085;0;28,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054695;1;1;1973;2412;1;17;1706;41,00775194;7,381395349;4,510852713;0;52,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054693;1;4;1897;208;1;6;610;7,751937984;1,395348837;0,852713178;0;10;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054693;1;3;1897;1731;1;6;610;8,527131783;1,534883721;0,937984496;0;11;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054693;1;2;1897;262;1;14;1410;20,15503876;3,627906977;2,217054264;0;26;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054693;1;1;1897;2299;1;14;1410;17,05426357;3,069767442;1,875968992;0;22;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054615;1;2;1980;2424;2;17;1702;13,10077519;4,71627907;2,882170543;0;16,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054615;1;1;1980;2418;2;17;1702;13,10077519;4,71627907;2,882170543;0;16,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054570;1;2;1980;2424;2;17;1702;13,10077519;4,71627907;2,882170543;0;16,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054570;1;1;1980;2418;2;17;1702;13,10077519;4,71627907;2,882170543;0;16,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054566;1;2;2695;2157;1;17;1704;7,674418605;1,381395349;0,844186047;0;9,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054566;1;1;2695;2178;1;14;1412;23,17829457;4,172093023;2,549612403;0;29,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054563;1;3;1479;1008;1;18;1807;9,302325581;1,674418605;1,023255814;0;12;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054563;1;2;1479;54;1;17;1706;41,00775194;7,381395349;4,510852713;0;52,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054563;1;1;1479;468;1;4;416;24,80620155;4,465116279;2,728682171;0;32;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054535;1;2;1898;213;1;6;610;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054535;1;1;1898;1916;1;14;1412;19,30232558;3,474418605;2,123255814;0;24,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054508;1;2;1980;2424;2;17;1702;13,10077519;4,71627907;2,882170543;0;16,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054508;1;1;1980;2418;2;17;1702;13,10077519;4,71627907;2,882170543;0;16,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054494;1;4;1898;344;1;14;1412;23,95348837;4,311627907;2,634883721;0;30,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054494;1;3;1898;1915;1;14;1412;19,30232558;3,474418605;2,123255814;0;24,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054494;1;2;1898;1969;1;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054494;1;1;1898;1969;1;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054486;1;4;1898;213;1;6;610;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;LUISA;NULL;NULL;NULL;NULL
2500054486;1;3;1898;1969;1;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;SIN HIELI;NULL;NULL;NULL;NULL
2500054486;1;2;1898;344;1;14;1412;23,95348837;4,311627907;2,634883721;0;30,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054486;1;1;1898;344;1;14;1412;23,95348837;4,311627907;2,634883721;0;30,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054484;2;2;1898;1918;1;14;1412;19,30232558;3,474418605;2,123255814;0;24,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054484;2;1;1898;1969;1;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054478;1;8;1898;1920;1;14;1412;19,30232558;3,474418605;2,123255814;0;24,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054478;1;7;1898;1915;1;14;1412;19,30232558;3,474418605;2,123255814;0;24,9;0;0;0;1;1;1;CON POLLO PLANCHA;NULL;NULL;NULL;NULL
2500054478;1;6;1898;1917;1;14;1412;19,30232558;3,474418605;2,123255814;0;24,9;0;0;0;1;1;1;CON CRISPY;NULL;NULL;NULL;NULL
2500054478;1;5;1898;344;1;14;1412;23,95348837;4,311627907;2,634883721;0;30,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054478;1;4;1898;1969;1;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054478;1;3;1898;1969;1;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054478;1;2;1898;1969;1;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054478;1;1;1898;1969;1;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054457;1;3;2304;2237;1;4;416;27,13178295;4,88372093;2,984496124;0;35;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054457;1;2;2304;1522;1;17;1706;41,00775194;7,381395349;4,510852713;0;52,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054457;1;1;2304;2264;1;18;1807;9,302325581;1,674418605;1,023255814;0;12;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054453;4;2;1897;1731;1;6;610;8,527131783;1,534883721;0,937984496;0;11;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054453;4;1;1897;2299;1;14;1410;17,05426357;3,069767442;1,875968992;0;22;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054418;1;4;1897;1731;1;6;610;8,527131783;1,534883721;0,937984496;0;11;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054418;1;3;1897;1803;1;6;605;9,302325581;1,674418605;1,023255814;0;12;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054418;1;2;1897;262;1;14;1410;20,15503876;3,627906977;2,217054264;0;26;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054418;1;1;1897;2299;1;14;1410;17,05426357;3,069767442;1,875968992;0;22;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054414;1;4;1897;1966;1;14;1402;13,10077519;2,358139535;1,441085271;0;16,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054414;1;3;1897;262;1;14;1410;20,15503876;3,627906977;2,217054264;0;26;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054414;1;2;1897;1803;1;6;605;9,302325581;1,674418605;1,023255814;0;12;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054414;1;1;1897;1803;1;6;605;9,302325581;1,674418605;1,023255814;0;12;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054411;1;6;1897;1803;1;6;605;9,302325581;1,674418605;1,023255814;0;12;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054411;1;5;1897;1803;1;6;605;9,302325581;1,674418605;1,023255814;0;12;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054411;1;4;1897;1803;1;6;605;9,302325581;1,674418605;1,023255814;0;12;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054411;1;3;1897;262;1;14;1410;20,15503876;3,627906977;2,217054264;0;26;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054411;1;2;1897;2299;1;14;1410;17,05426357;3,069767442;1,875968992;0;22;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054411;1;1;1897;2299;1;14;1410;17,05426357;3,069767442;1,875968992;0;22;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054410;1;4;1897;1731;1;6;610;8,527131783;1,534883721;0,937984496;0;11;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054410;1;3;1897;208;1;6;610;7,751937984;1,395348837;0,852713178;0;10;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054410;1;2;1897;1966;1;14;1402;13,10077519;2,358139535;1,441085271;0;16,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054410;1;1;1897;262;1;14;1410;20,15503876;3,627906977;2,217054264;0;26;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054409;1;4;1897;2299;1;14;1410;17,05426357;3,069767442;1,875968992;0;22;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054409;1;3;1897;2299;1;14;1410;17,05426357;3,069767442;1,875968992;0;22;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054409;1;2;1897;210;1;6;610;8,527131783;1,534883721;0,937984496;0;11;0;0;0;1;1;1;CORTADO;NULL;NULL;NULL;NULL
2500054409;1;1;1897;208;1;6;610;7,751937984;1,395348837;0,852713178;0;10;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054405;1;4;1897;210;1;6;610;8,527131783;1,534883721;0,937984496;0;11;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054405;1;3;1897;262;1;14;1410;20,15503876;3,627906977;2,217054264;0;26;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054405;1;2;1897;208;1;6;610;7,751937984;1,395348837;0,852713178;0;10;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
